InternetService,PaperlessBilling,MonthlyCharges,StreamingMovies,StreamingTV,SeniorCitizen,DeviceProtection,OnlineBackup,Partner,Dependents,TotalCharges,PaymentMethod,tenure,Contract
1.0,0.0,-0.0004737233752722791,2.0,1.0,0,2.0,1.0,0.0,1.0,-0.4213573149470293,1.0,-0.4656833638455588,1.0
2.0,1.0,1.074753860742306,2.0,2.0,0,1.0,2.0,0.0,0.0,1.255882596103345,2.0,0.8855367868020159,2.0
1.0,1.0,-1.3764991324160054,1.0,1.0,0,1.0,1.0,1.0,0.0,-1.0021657304818163,0.0,-1.2846046672683313,0.0
2.0,1.0,0.17734598528095805,1.0,1.0,0,1.0,1.0,0.0,0.0,-0.9073064735189261,0.0,-1.1617664717549154,0.0
1.0,1.0,-0.09852384310160459,1.0,1.0,0,1.0,2.0,0.0,1.0,-0.3886319768805777,2.0,-1.32555073243947,2.0
2.0,1.0,0.15574172161244393,1.0,1.0,0,1.0,1.0,0.0,0.0,-0.7819772734103803,0.0,-1.0389282762414995,0.0
0.0,0.0,-1.5260671116595634,0.0,0.0,0,0.0,0.0,1.0,1.0,-0.7410263773974962,1.0,-0.015276646963033904,2.0
0.0,1.0,-1.4978153822468916,0.0,0.0,0,0.0,0.0,1.0,1.0,-0.38692937483252576,3.0,1.6225659598825113,2.0
1.0,1.0,-0.8380544071391968,1.0,2.0,0,2.0,1.0,0.0,0.0,-0.6882236021929784,0.0,-0.547575494187836,0.0
0.0,1.0,-1.4928297829387727,0.0,0.0,0,0.0,0.0,0.0,1.0,-0.9154656963206291,2.0,-0.9160900807280837,1.0
2.0,1.0,0.14078492368808804,1.0,1.0,1,1.0,1.0,1.0,0.0,-0.36035109351098876,0.0,-0.4656833638455588,0.0
1.0,1.0,0.17236038597283926,2.0,1.0,1,1.0,1.0,0.0,0.0,0.3417843017336764,0.0,0.5170222002617683,0.0
0.0,0.0,-1.4978153822468916,0.0,0.0,1,0.0,0.0,0.0,0.0,-0.7526350277251226,3.0,-0.015276646963033904,1.0
2.0,0.0,1.3589330213050659,2.0,2.0,0,2.0,1.0,1.0,0.0,0.8574737168592067,2.0,0.3122918744060751,1.0
1.0,0.0,-0.7632704175174179,1.0,1.0,0,2.0,1.0,0.0,0.0,-0.18323625708377428,1.0,0.5989143306040455,2.0
1.0,1.0,-0.3910123358445623,2.0,1.0,0,2.0,2.0,0.0,0.0,-0.1717381653306967,1.0,0.1485076137215206,2.0
2.0,1.0,1.3373287576365518,1.0,2.0,0,2.0,2.0,1.0,1.0,2.186940575808803,3.0,1.4997277643690954,1.0
1.0,1.0,0.52633793684926,2.0,2.0,0,2.0,2.0,1.0,0.0,1.5104326581445555,3.0,1.5816198947113727,2.0
0.0,1.0,-1.3366143379510567,0.0,0.0,0,0.0,0.0,1.0,0.0,-0.256249139715817,2.0,1.5816198947113727,2.0
1.0,0.0,-0.38935046940852286,2.0,2.0,0,2.0,1.0,1.0,0.0,-0.15862591838920623,3.0,0.10756154855038198,1.0
1.0,0.0,-0.33949447632733687,2.0,1.0,0,1.0,1.0,0.0,0.0,-0.9289096189857661,1.0,-1.202712536926054,0.0
2.0,0.0,1.4902204697521892,2.0,2.0,1,2.0,2.0,1.0,0.0,2.4804293678061087,3.0,1.6225659598825113,2.0
1.0,1.0,0.8553874911850873,2.0,2.0,0,2.0,2.0,1.0,1.0,1.836270889054847,3.0,1.6225659598825113,2.0
1.0,1.0,0.2704105056991718,1.0,2.0,0,2.0,2.0,1.0,1.0,1.2707195568077974,3.0,1.4587816991979567,1.0
1.0,1.0,-0.33617074345525777,2.0,1.0,0,2.0,2.0,0.0,0.0,0.026029012822237848,0.0,0.39418400474835236,1.0
0.0,0.0,-1.474549252142338,0.0,0.0,1,0.0,0.0,0.0,0.0,-0.8225743819847081,2.0,-0.4656833638455588,1.0
2.0,1.0,0.9052434842662732,2.0,2.0,1,2.0,1.0,0.0,0.0,-0.6897271988068423,0.0,-0.997982211070361,0.0
2.0,0.0,0.34685636175699025,1.0,1.0,1,1.0,1.0,1.0,0.0,-0.6939284246396976,0.0,-0.9160900807280837,0.0
2.0,1.0,1.3921703500258567,2.0,2.0,0,2.0,2.0,0.0,0.0,2.2083668275563655,3.0,1.5816198947113727,2.0
2.0,1.0,0.8786536212896409,1.0,2.0,1,2.0,2.0,0.0,0.0,0.8122773715836479,2.0,0.5579682654329069,1.0
2.0,1.0,0.5030718067447064,1.0,1.0,0,1.0,2.0,1.0,1.0,-0.9058249886199717,0.0,-1.202712536926054,0.0
2.0,1.0,0.8786536212896409,1.0,2.0,1,1.0,2.0,0.0,0.0,-0.5285106853997485,0.0,-0.8341979503858065,0.0
1.0,0.0,-0.5655083116287133,1.0,2.0,0,2.0,2.0,1.0,0.0,-0.48605619277300055,2.0,-0.2609530379898657,1.0
1.0,1.0,-0.48906245557089484,1.0,1.0,0,1.0,1.0,0.0,0.0,-0.9414027379097831,1.0,-1.202712536926054,0.0
1.0,1.0,0.31860463234431835,2.0,2.0,0,2.0,1.0,0.0,0.0,0.6334157096785619,2.0,0.6808064609463228,2.0
2.0,0.0,0.5230142039771807,1.0,1.0,0,1.0,2.0,0.0,0.0,0.15987122317104305,2.0,0.025669418208104724,2.0
2.0,1.0,0.9816893403240922,2.0,1.0,0,2.0,1.0,1.0,0.0,0.7628576887603238,0.0,0.39418400474835236,0.0
1.0,1.0,0.3451944953209508,2.0,1.0,0,1.0,2.0,1.0,1.0,0.024282187344366525,2.0,-0.05622271213417253,1.0
2.0,1.0,1.405465281514173,2.0,2.0,1,2.0,1.0,1.0,1.0,2.2510645490471206,3.0,1.4587816991979567,1.0
2.0,1.0,1.7079249728733679,2.0,2.0,1,2.0,2.0,1.0,1.0,2.4644204862114396,0.0,1.3768895688556795,1.0
0.0,1.0,-1.506124714427089,0.0,0.0,0,0.0,0.0,1.0,1.0,-0.5221867349355559,0.0,1.0493210474865704,1.0
0.0,0.0,-1.4878441836306542,0.0,0.0,0,0.0,0.0,1.0,1.0,-0.7227399891671209,1.0,0.10756154855038198,2.0
0.0,0.0,-1.484520450758575,0.0,0.0,0,0.0,0.0,0.0,0.0,-1.003602991950951,2.0,-1.2846046672683313,0.0
2.0,0.0,0.3302376973965949,1.0,1.0,0,1.0,2.0,0.0,0.0,0.30165153917245363,3.0,0.3122918744060751,0.0
1.0,1.0,0.37676995760570203,1.0,2.0,0,1.0,2.0,1.0,0.0,-0.5785052728107263,0.0,-0.7932518852146678,0.0
1.0,0.0,-0.30459528117050655,1.0,1.0,0,1.0,1.0,1.0,0.0,0.39005417538169257,0.0,1.0083749823154318,0.0
