SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineBackup,DeviceProtection,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
0,0.0,0.0,0.1023712383613841,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,-0.5219756496159262,-0.26328951075742124
0,1.0,1.0,-0.7117434584104956,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.3374778078243394,-0.5048149695448421
0,1.0,1.0,-0.7931549280876836,1.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,-0.8090131942822701,-0.7512139651301911
0,1.0,0.0,-0.2639803751859618,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,0.2843841579438598,-0.17369985457568482
0,1.0,1.0,-1.2816237461508113,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.6762790695810708,-0.9908514772301261
0,0.0,1.0,1.3642490183577978,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,0.48348534499565887,1.270974512983176
0,0.0,0.0,-1.2816237461508113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.497571466169742,-1.0017181471173986
0,1.0,0.0,0.30589991255435406,1.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,-0.27641751891870747,0.03414990399542036
0,1.0,0.0,1.3235432835192036,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,-0.17023021915774814,0.6616067902944623
0,0.0,0.0,1.1200146093262338,1.0,1.0,2.0,2.0,2.0,1.0,0.0,3.0,0.5183280527297236,1.1177215382699435
1,0.0,0.0,-1.1188008067964355,1.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,-0.1669118660402181,-0.8840288193079675
0,1.0,1.0,-1.1188008067964355,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,-0.5153389433808665,-0.9083086918237725
0,0.0,0.0,-1.2409180113122174,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-0.46390447005915153,-0.9563854737492816
0,1.0,1.0,-0.10115743583158582,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.08860132400959055,-0.13220893318791666
0,1.0,0.0,0.14307697319997809,2.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0111034906829266,0.5149616289874299
0,1.0,1.0,0.9164859351332638,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,0.1367174442137754,0.6767103637943483
0,0.0,0.0,-0.06045170099299184,2.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,0.6576988836659831,0.1370210455949345
1,1.0,1.0,-0.1825689055087738,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,-0.9633166142474143,-0.5829232755224499
0,0.0,0.0,-0.6710377235719016,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,-1.5257774676687466,-0.8669275347783001
0,0.0,0.0,-1.0780950719578415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.4859572302583868,-0.9531144963488704
1,1.0,0.0,-0.22327464034736777,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.695859944517578,-0.035660217704634
0,0.0,0.0,1.0386031396490458,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,-1.3150620447055927,-0.36308725077265624
0,1.0,1.0,1.6084834273893616,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.326347036848275,2.384665482783634
0,0.0,0.0,-0.1825689055087738,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,-0.9682941439237093,-0.5883017282949384
0,1.0,1.0,0.30589991255435406,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.667653943018573,0.4629113778708172
0,0.0,0.0,-1.2816237461508113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.4743429943470319,-1.001410806958971
0,0.0,0.0,-1.1188008067964355,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.5000771105833088,-0.82930031823934
0,0.0,0.0,-1.2816237461508113,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.14169497389007057,-0.9800287130797719
0,0.0,1.0,-0.8338606629262776,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,1.3396204493183947,-0.45032795002926496
0,0.0,0.0,-1.1188008067964355,2.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.034331962505636,-0.8113428718397662
0,1.0,0.0,1.5677776925507676,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.7024966507526377,1.6440854653146613
0,0.0,0.0,-1.2002122764736234,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.39886734049864436,-0.9101307799058809
0,1.0,0.0,-0.10115743583158582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.5025489958460367,-0.7224557074487222
0,1.0,0.0,-0.30468611002455576,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,-1.4842980536996218,-0.7874142452193074
0,1.0,1.0,0.7943687306174818,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,-1.3399496930870676,-0.4260041717765417
1,0.0,0.0,0.5501343215859179,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.495583045842304,1.1299053802647643
0,0.0,0.0,-0.9559778674420595,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.18483356441796028,-0.7478990819928615
0,1.0,0.0,-0.5489205190561197,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.7273842991341125,-0.3235501346777512
0,0.0,0.0,-0.8338606629262776,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,-0.5153389433808665,-0.7418620431665989
1,1.0,0.0,0.5094285867473239,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.1206091435614158,0.9766743584199908
0,1.0,1.0,0.14307697319997809,2.0,1.0,2.0,2.0,2.0,0.0,1.0,3.0,1.313073624378155,0.6074929695426906
0,0.0,0.0,0.22448844287716607,2.0,2.0,2.0,1.0,2.0,0.0,1.0,3.0,1.0011484313303363,0.6102370781000828
0,1.0,1.0,-1.2816237461508113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.5174815848749215,-1.0019815815389084
0,1.0,0.0,-0.9152721326034655,2.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,1.113972437326356,-0.5547796981578369
0,1.0,1.0,-0.7931549280876836,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,-0.6679831867872458,-0.7648906021802332
0,0.0,0.0,-0.5896262538947137,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,0.5664441729339085,-0.38455715612569175
0,1.0,0.0,0.18378270803857208,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,-0.6480730680820658,-0.31094918818220685
0,0.0,1.0,-1.1188008067964355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.4793205240233267,-0.9568464839869235
0,0.0,0.0,-0.8745663977648716,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.33250027814804467,-0.6523601984586991
0,0.0,1.0,1.2828375486806096,2.0,2.0,1.0,2.0,2.0,0.0,1.0,3.0,1.135541732590301,1.6990993536732577
0,0.0,0.0,-1.2816237461508113,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,-0.3112602266527725,-0.986021846169116
1,1.0,0.0,0.18378270803857208,2.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.9148712502745568,0.5146103830920838
0,1.0,1.0,0.631545791263106,2.0,2.0,1.0,2.0,2.0,0.0,1.0,3.0,1.3379612727596297,1.1837777194634853
1,1.0,0.0,-0.5082147842175256,2.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.9828974891839214,-0.17635615165924032
0,0.0,0.0,-0.2639803751859618,1.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.15165003324266044,-0.2200862656298405
0,0.0,0.0,-0.10115743583158582,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,-1.5108448786398618,-0.7564167949550065
0,0.0,0.0,1.4863662228735797,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.06537285218688103,0.999549247354411
0,1.0,1.0,1.2421318138420157,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,0.8120023036311275,1.4472779995785017
